date,EONIA,Euro Area,Spread,Model rate,Model spread
1/31/2003,2.7868,0.89,1.8968,1.83815229,0.94864771
2/28/2003,2.7635,0.91,1.8535,1.814619426,0.948880574
3/31/2003,2.749,0.87,1.879,1.79997657,0.94902343
4/30/2003,2.5605,0.84,1.7205,1.609763132,0.950736868
5/31/2003,2.5571,0.85,1.7071,1.606334676,0.950765324
6/30/2003,2.2133,0.76,1.4533,1.260104939,0.953195061
7/31/2003,2.0783,0.69,1.3883,1.124393088,0.953906912
8/31/2003,2.0981,0.68,1.4181,1.144288951,0.953811049
9/30/2003,2.0209,0.69,1.3309,1.06673177,0.95416823
10/31/2003,2.0148,0.69,1.3248,1.060605449,0.954194551
11/30/2003,1.973,0.69,1.283,1.018632579,0.954367421
12/31/2003,2.0567,0.7,1.3567,1.102691858,0.954008142
1/31/2004,2.0214,0.7,1.3214,1.06723394,0.95416606
2/29/2004,2.0315,0.7,1.3315,1.07737817,0.95412183
3/31/2004,2.0057,0.71,1.2957,1.051466701,0.954233299
4/30/2004,2.078,0.7,1.378,1.124091658,0.953908342
5/31/2004,2.0152,0.71,1.3052,1.061007166,0.954192834
6/30/2004,2.0277,0.7,1.3277,1.073561439,0.954138561
7/31/2004,2.0677,0.7,1.3677,1.113742973,0.953957027
8/31/2004,2.0404,0.72,1.3204,1.086317779,0.954082221
9/30/2004,2.0518,0.72,1.3318,1.097769379,0.954030621
10/31/2004,2.1114,0.72,1.3914,1.157654992,0.953745008
11/30/2004,2.085,0.73,1.355,1.131125198,0.953874802
12/31/2004,2.0535,0.73,1.3235,1.099477158,0.954022842
1/31/2005,2.0771,0.74,1.3371,1.123187372,0.953912628
2/28/2005,2.0585,0.74,1.3185,1.10450016,0.95399984
3/31/2005,2.0567,0.74,1.3167,1.102691858,0.954008142
4/30/2005,2.0757,0.74,1.3357,1.121780718,0.953919282
5/31/2005,2.07,0.75,1.32,1.116053776,0.953946224
6/30/2005,2.0623,0.7,1.3623,1.108317767,0.953982233
7/31/2005,2.0729,0.68,1.3929,1.118967453,0.953932547
8/31/2005,2.0609,0.68,1.3809,1.106911268,0.953988732
9/30/2005,2.0941,0.69,1.4041,1.140269348,0.953830652
10/31/2005,2.0671,0.69,1.3771,1.113140162,0.953959838
11/30/2005,2.0859,0.7,1.3859,1.132029537,0.953870463
12/31/2005,2.2757,0.71,1.5657,1.322880112,0.952819888
1/31/2006,2.3264,0.73,1.5964,1.373906428,0.952493572
2/28/2006,2.3495,0.74,1.6095,1.397161495,0.952338505
3/31/2006,2.52,0.76,1.76,1.568929806,0.951070194
4/30/2006,2.6283,0.79,1.8383,1.678148701,0.950151299
5/31/2006,2.5768,0.79,1.7868,1.62620076,0.95059924
6/30/2006,2.6977,0.81,1.8877,1.748183833,0.949516167
7/31/2006,2.8138,0.81,2.0038,1.865427234,0.948372766
8/31/2006,2.9683,0.85,2.1183,2.021605914,0.946694086
9/30/2006,3.041,0.86,2.181,2.09515792,0.94584208
10/31/2006,3.2782,0.9,2.3782,2.335414367,0.942785633
11/30/2006,3.3277,0.91,2.4177,2.385605632,0.942094368
12/31/2006,3.5011,0.92,2.5811,2.56157278,0.93952722
1/31/2007,3.5632,0.98,2.5832,2.624647285,0.938552715
2/28/2007,3.5695,1,2.5695,2.631047773,0.938452227
3/31/2007,3.6909,1.02,2.6709,2.754442638,0.936457362
4/30/2007,3.8195,1.04,2.7795,2.885277143,0.934222857
5/31/2007,3.7904,1.06,2.7304,2.855660581,0.934739419
6/30/2007,3.9557,1.08,2.8757,3.023979897,0.931720103
7/31/2007,4.0632,1.1,2.9632,3.133554261,0.929645739
8/31/2007,4.0474,1.14,2.9074,3.117443901,0.929956099
9/30/2007,4.0286,1.16,2.8686,3.098277071,0.930322929
10/31/2007,3.9414,1.17,2.7714,3.009410541,0.931989459
11/30/2007,4.0221,1.18,2.8421,3.091650863,0.930449137
12/31/2007,3.879,1.18,2.699,2.945853251,0.933146749
1/31/2008,4.0218,1.2,2.8218,3.091345046,0.930454954
2/29/2008,4.0279,1.21,2.8179,3.097563464,0.930336536
3/31/2008,4.091,1.22,2.871,3.16190492,0.92909508
4/30/2008,3.9868,1.22,2.7668,3.055671035,0.931128965
5/31/2008,4.0097,1.23,2.7797,3.079010983,0.930689017
6/30/2008,4.0067,1.24,2.7667,3.075953123,0.930746877
7/31/2008,4.1908,1.26,2.9308,3.263729905,0.927070095
8/31/2008,4.2989,1.29,3.0089,3.374108324,0.924791676
9/30/2008,4.2733,1.32,2.9533,3.347960762,0.925339238
10/31/2008,3.8198,1.34,2.4798,2.885582502,0.934217498
11/30/2008,3.1502,1.29,1.8602,2.20571241,0.94448759
12/31/2008,2.4864,1.16,1.3264,1.535062611,0.951337389
1/31/2009,1.8122,1.02,0.7922,0.857289444,0.954910556
2/28/2009,1.2571,0.9,0.3571,0.301799294,0.955300706
3/31/2009,1.0619,0.8,0.2619,0.107008493,0.954891507
4/30/2009,0.8419,0.66,0.1819,0,0.8419
5/31/2009,0.7821,0.61,0.1721,0,0.7821
6/30/2009,0.698,0.56,0.138,0,0.698
7/31/2009,0.3576,0.52,-0.1624,0,0.3576
8/31/2009,0.3475,0.5,-0.1525,0,0.3475
9/30/2009,0.3632,0.49,-0.1268,0,0.3632
10/31/2009,0.3587,0.46,-0.1013,0,0.3587
11/30/2009,0.3624,0.46,-0.0976,0,0.3624
12/31/2009,0.3546,0.45,-0.0954,0,0.3546
1/31/2010,0.344,0.43,-0.086,0,0.344
2/28/2010,0.3406,0.42,-0.0794,0,0.3406
3/31/2010,0.3477,0.42,-0.0723,0,0.3477
4/30/2010,0.3533,0.41,-0.0567,0,0.3533
5/31/2010,0.3439,0.4,-0.0561,0,0.3439
6/30/2010,0.3543,0.42,-0.0657,0,0.3543
7/31/2010,0.4811,0.41,0.0711,0,0.4811
8/31/2010,0.4256,0.42,0.0056,0,0.4256
9/30/2010,0.4536,0.42,0.0336,0,0.4536
10/31/2010,0.7013,0.42,0.2813,0,0.7013
11/30/2010,0.5926,0.42,0.1726,0,0.5926
12/31/2010,0.4981,0.41,0.0881,0,0.4981
1/31/2011,0.659,0.42,0.239,0,0.659
2/28/2011,0.7071,0.43,0.2771,0,0.7071
3/31/2011,0.6587,0.44,0.2187,0,0.6587
4/30/2011,0.9661,0.45,0.5161,0.011513178,0.954586822
5/31/2011,1.0334,0.47,0.5634,0.078591993,0.954808007
6/30/2011,1.124,0.48,0.644,0.168947512,0.955052488
7/31/2011,1.0118,0.5,0.5118,0.057059307,0.954740693
8/31/2011,0.9058,0.52,0.3858,0,0.9058
9/30/2011,1.0054,0.53,0.4754,0.050679919,0.954720081
10/31/2011,0.9596,0.54,0.4196,0.005036327,0.954563673
11/30/2011,0.79,0.53,0.26,0,0.79
12/31/2011,0.627,0.52,0.107,0,0.627
1/31/2012,0.38,0.51,-0.13,0,0.38
2/29/2012,0.3656,0.5,-0.1344,0,0.3656
3/31/2012,0.3567,0.49,-0.1333,0,0.3567
4/30/2012,0.3451,0.47,-0.1249,0,0.3451
5/31/2012,0.337,0.46,-0.123,0,0.337
6/30/2012,0.3321,0.45,-0.1179,0,0.3321
7/31/2012,0.1842,0.43,-0.2458,0,0.1842
8/31/2012,0.1101,0.41,-0.2999,0,0.1101
9/30/2012,0.0993,0.4,-0.3007,0,0.0993
10/31/2012,0.0907,0.39,-0.2993,0,0.0907
11/30/2012,0.0785,0.38,-0.3015,0,0.0785
12/31/2012,0.0734,0.37,-0.2966,0,0.0734
1/31/2013,0.069,0.35,-0.281,0,0.069
2/28/2013,0.0677,0.34,-0.2723,0,0.0677
3/31/2013,0.0669,0.34,-0.2731,0,0.0669
4/30/2013,0.081,0.33,-0.249,0,0.081
5/31/2013,0.0787,0.32,-0.2413,0,0.0787
6/30/2013,0.0862,0.3,-0.2138,0,0.0862
7/31/2013,0.0931,0.29,-0.1969,0,0.0931
8/31/2013,0.082,0.29,-0.208,0,0.082
9/30/2013,0.0803,0.28,-0.1997,0,0.0803
10/31/2013,0.0934,0.28,-0.1866,0,0.0934
11/30/2013,0.1031,0.27,-0.1669,0,0.1031
12/31/2013,0.1686,0.27,-0.1014,0,0.1686
1/31/2014,0.1961,0.26,-0.0639,0,0.1961
2/28/2014,0.1567,0.26,-0.1033,0,0.1567
3/31/2014,0.1919,0.26,-0.0681,0,0.1919
4/30/2014,0.2539,0.26,-0.0061,0,0.2539
5/31/2014,0.248,0.26,-0.012,0,0.248
6/30/2014,0.0758,0.25,-0.1742,0,0.0758
7/31/2014,0.0433,0.23,-0.1867,0,0.0433
8/31/2014,0.0179,0.22,-0.2021,0,0.0179
9/30/2014,0.0066,0.21,-0.2034,0,0.0066
10/31/2014,-0.0045,0.2,-0.2045,0,-0.0045
11/30/2014,-0.0115,0.2,-0.2115,0,-0.0115
12/31/2014,-0.0301,0.2,-0.2301,0,-0.0301
1/31/2015,-0.0506,0.19,-0.2406,0,-0.0506
2/28/2015,-0.036,0.18,-0.216,0,-0.036
3/31/2015,-0.0504,0.17,-0.2204,0,-0.0504
4/30/2015,-0.0745,0.16,-0.2345,0,-0.0745
5/31/2015,-0.1057,0.16,-0.2657,0,-0.1057
6/30/2015,-0.1185,0.15,-0.2685,0,-0.1185
7/31/2015,-0.1177,0.15,-0.2677,0,-0.1177
8/31/2015,-0.1213,0.14,-0.2613,0,-0.1213
9/30/2015,-0.1357,0.14,-0.2757,0,-0.1357
10/31/2015,-0.1389,0.14,-0.2789,0,-0.1389
11/30/2015,-0.1347,0.14,-0.2747,0,-0.1347
12/31/2015,-0.1989,0.13,-0.3289,0,-0.1989
1/31/2016,-0.2387,0.12,-0.3587,0,-0.2387
2/29/2016,-0.2404,0.12,-0.3604,0,-0.2404
3/31/2016,-0.2877,0.11,-0.3977,0,-0.2877
4/30/2016,-0.3378,0.11,-0.4478,0,-0.3378
5/31/2016,-0.338,0.1,-0.438,0,-0.338
6/30/2016,-0.3326,0.09,-0.4226,0,-0.3326
7/31/2016,-0.3288,0.09,-0.4188,0,-0.3288
8/31/2016,-0.3388,0.08,-0.4188,0,-0.3388
9/30/2016,-0.343,0.08,-0.423,0,-0.343
10/31/2016,-0.3466,0.08,-0.4266,0,-0.3466
11/30/2016,-0.3487,0.08,-0.4287,0,-0.3487
12/31/2016,-0.3504,0.07,-0.4204,0,-0.3504
1/31/2017,-0.3515,0.07,-0.4215,0,-0.3515
2/28/2017,-0.3528,0.06,-0.4128,0,-0.3528
3/31/2017,-0.3535,0.06,-0.4135,0,-0.3535
4/30/2017,-0.3569,0.06,-0.4169,0,-0.3569
5/31/2017,-0.3589,0.05,-0.4089,0,-0.3589
6/30/2017,-0.3587,0.05,-0.4087,0,-0.3587
7/31/2017,-0.3595,0.05,-0.4095,0,-0.3595
8/31/2017,-0.3558,0.05,-0.4058,0,-0.3558
9/30/2017,-0.3581,0.05,-0.4081,0,-0.3581
10/31/2017,-0.359,0.05,-0.409,0,-0.359
11/30/2017,-0.3492,0.04,-0.3892,0,-0.3492
12/31/2017,-0.3423,0.05,-0.3923,0,-0.3423
1/31/2018,-0.3624,0.04,-0.4024,0,-0.3624
2/28/2018,-0.3647,0.04,-0.4047,0,-0.3647
3/31/2018,-0.3639,0.04,-0.4039,0,-0.3639
4/30/2018,-0.3657,0.04,-0.4057,0,-0.3657
5/31/2018,-0.3625,0.04,-0.4025,0,-0.3625
6/30/2018,-0.3618,0.03,-0.3918,0,-0.3618
7/31/2018,-0.3636,0.03,-0.3936,0,-0.3636
8/31/2018,-0.3591,0.03,-0.3891,0,-0.3591
9/30/2018,-0.3627,0.03,-0.3927,0,-0.3627
10/31/2018,-0.366,0.03,-0.396,0,-0.366
11/30/2018,-0.3613,0.04,-0.4013,0,-0.3613
12/31/2018,-0.3605,0.03,-0.3905,0,-0.3605
1/31/2019,-0.367,0.03,-0.397,0,-0.367
2/28/2019,-0.367,0.03,-0.397,0,-0.367
3/31/2019,-0.3679,0.03,-0.3979,0,-0.3679
4/30/2019,-0.367,0.03,-0.397,0,-0.367
5/31/2019,-0.3666,0.03,-0.3966,0,-0.3666
6/30/2019,-0.3615,0.03,-0.3915,0,-0.3615
7/31/2019,-0.3668,0.03,-0.3968,0,-0.3668
8/31/2019,-0.3612,0.03,-0.3912,0,-0.3612
9/30/2019,-0.4032,0.03,-0.4332,0,-0.4032
10/31/2019,-0.4642,0.03,-0.4942,0,-0.4642
11/30/2019,-0.4513,0.03,-0.4813,0,-0.4513
12/31/2019,-0.4562,0.03,-0.4862,0,-0.4562
1/31/2020,-0.4527,0.02,-0.4727,0,-0.4527
2/29/2020,-0.4533,0.02,-0.4733,0,-0.4533
3/31/2020,-0.4488,0.02,-0.4688,0,-0.4488
4/30/2020,-0.4516,0.02,-0.4716,0,-0.4516
5/31/2020,-0.4567,0.02,-0.4767,0,-0.4567
6/30/2020,-0.4607,0.02,-0.4807,0,-0.4607
7/31/2020,-0.4649,0.02,-0.4849,0,-0.4649
8/31/2020,-0.4677,0.02,-0.4877,0,-0.4677
9/30/2020,-0.4689,0.02,-0.4889,0,-0.4689
10/31/2020,-0.4694,0.02,-0.4894,0,-0.4694
11/30/2020,-0.4713,0.02,-0.4913,0,-0.4713
12/31/2020,-0.4724,0.01,-0.4824,0,-0.4724
1/31/2021,-0.4783,0.01,-0.4883,0,-0.4783
2/28/2021,-0.4788,0.01,-0.4888,0,-0.4788
3/31/2021,-0.4793,0.01,-0.4893,0,-0.4793
4/30/2021,-0.4808,0.01,-0.4908,0,-0.4808
5/31/2021,-0.4797,0.01,-0.4897,0,-0.4797
6/30/2021,-0.4796,0.01,-0.4896,0,-0.4796
7/31/2021,-0.4812,0.01,-0.4912,0,-0.4812
8/31/2021,-0.4829,0.01,-0.4929,0,-0.4829
9/30/2021,-0.485,0.01,-0.495,0,-0.485
10/31/2021,-0.4856,0.01,-0.4956,0,-0.4856
11/30/2021,-0.488,0.01,-0.498,0,-0.488
12/31/2021,-0.4922,0.01,-0.5022,0,-0.4922
