"","Treatment","Session","GroupID","RoleID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","Baseline","1","1","1","10","24","11","3","4","1","5","99000","99000","99000"
"2","Baseline","1","1","2","2","3","8","3","3","3","3","99000","99000","9"
"3","Baseline","1","1","3","2","5","4","2","1","99000","99000","99000","99000","99000"
"4","Baseline","1","1","4","3","6","99000","2","99000","99000","1","99000","99000","1"
"5","Baseline","1","1","5","5","4","20","2","5","7","3","99000","99000","99000"
"6","Baseline","1","1","6","8","11","99000","4","4","99000","6","5","99000","99000"
"7","Baseline","1","2","1","41","19","99000","14","20","3","8","99000","7","7"
"8","Baseline","1","2","2","8","4","19","4","40","13","4","99000","6","5"
"9","Baseline","1","2","3","4","99000","99000","2","3","1","99000","99000","99000","99000"
"10","Baseline","1","2","4","4","50","4","2","4","16","14","99000","9","21"
"11","Baseline","1","2","5","31","26","34","28","3","16","8","19","99000","99000"
"12","Baseline","1","2","6","2","8","11","2","17","4","3","99000","99000","8"
"13","Baseline","1","3","1","8","7","4","7","4","6","6","25","99000","4"
"14","Baseline","1","3","2","4","19","11","4","1","12","4","12","99000","5"
"15","Baseline","1","3","3","4","14","6","2","6","5","20","1","5","4"
"16","Baseline","1","3","4","86","44","6","11","12","4","5","5","6","12"
"17","Baseline","1","3","5","12","26","45","10","30","17","27","6","9","6"
"18","Baseline","1","3","6","7","15","99000","8","32","43","22","9","16","99000"
"19","Baseline","2","4","1","72","10","99000","99000","99000","99000","11","99000","99000","99000"
"20","Baseline","2","4","2","3","5","99000","99000","99000","99000","99000","99000","99000","99000"
"21","Baseline","2","4","3","10","17","18","99000","99000","99000","99000","99000","99000","99000"
"22","Baseline","2","4","4","6","3","99000","99000","99000","99000","99000","99000","99000","99000"
"23","Baseline","2","4","5","1","2","99000","99000","99000","99000","99000","99000","99000","99000"
"24","Baseline","2","4","6","3","1","99000","99000","99000","99000","99000","99000","99000","99000"
"25","Baseline","2","5","1","17","18","5","10","22","8","18","8","99000","7"
"26","Baseline","2","5","2","2","7","99000","99000","99000","9","99000","8","99000","99000"
"27","Baseline","2","5","3","6","7","99000","6","99000","99000","99000","99000","7","99000"
"28","Baseline","2","5","4","14","4","5","8","9","11","11","19","99000","99000"
"29","Baseline","2","5","5","2","99000","99000","99000","99000","99000","99000","99000","99000","99000"
"30","Baseline","2","5","6","4","3","6","99000","99000","7","99000","99000","99000","9"
"31","Baseline","2","6","1","5","1","99000","99000","99000","99000","99000","99000","99000","99000"
"32","Baseline","2","6","2","3","5","99000","99000","99000","99000","99000","99000","99000","7"
"33","Baseline","2","6","3","4","7","99000","99000","11","99000","99000","99000","99000","99000"
"34","Baseline","2","6","4","3","3","99000","99000","7","7","1","9","8","9"
"35","Baseline","2","6","5","7","99000","99000","99000","99000","99000","99000","99000","99000","99000"
"36","Baseline","2","6","6","23","20","5","24","99000","99000","99000","99000","99000","99000"
"37","Baseline","3","7","1","30","5","2","2","1","2","3","2","1","3"
"38","Baseline","3","7","2","9","9","4","3","2","2","4","2","2","4"
"39","Baseline","3","7","3","10","4","2","3","7","11","9","6","6","3"
"40","Baseline","3","7","4","4","3","2","2","2","2","2","2","2","1"
"41","Baseline","3","7","5","3","10","8","2","2","13","3","4","5","3"
"42","Baseline","3","7","6","5","3","2","3","3","2","2","2","3","4"
"43","Baseline","3","8","1","2","3","2","1","1","1","1","1","1","1"
"44","Baseline","3","8","2","4","7","1","5","1","1","2","2","2","2"
"45","Baseline","3","8","3","8","3","10","4","6","2","2","2","2","2"
"46","Baseline","3","8","4","10","3","7","3","2","2","2","2","2","3"
"47","Baseline","3","8","5","4","10","2","2","12","5","2","5","1","2"
"48","Baseline","3","8","6","18","3","9","2","3","2","2","3","3","4"
"49","Revision Mechanism","1","1","1","109","87","67","1","3","99000","1","1","1","4"
"50","Revision Mechanism","1","1","2","100","100","5","7","1","79","1","1","1","1"
"51","Revision Mechanism","1","1","3","6","4","76","1","5","4","5","1","1","4"
"52","Revision Mechanism","1","1","4","36","78","51","1","2","22","40","27","94","27"
"53","Revision Mechanism","1","1","5","114","102","64","12","2","76","1","1","1","1"
"54","Revision Mechanism","1","1","6","97","101","74","1","3","99000","1","1","1","1"
"55","Revision Mechanism","1","2","1","109","95","74","83","80","74","82","79","80","72"
"56","Revision Mechanism","1","2","2","95","84","63","66","69","80","91","78","91","79"
"57","Revision Mechanism","1","2","3","97","92","58","87","84","68","75","75","87","69"
"58","Revision Mechanism","1","2","4","110","98","75","68","4","49","62","77","91","60"
"59","Revision Mechanism","1","2","5","113","103","73","82","81","71","81","80","88","79"
"60","Revision Mechanism","1","2","6","4","38","69","50","2","5","32","66","5","47"
"61","Revision Mechanism","2","3","1","106","6","90","27","7","17","5","4","2","4"
"62","Revision Mechanism","2","3","2","2","3","1","1","1","1","4","3","1","1"
"63","Revision Mechanism","2","3","3","44","89","1","1","3","1","2","3","1","1"
"64","Revision Mechanism","2","3","4","4","79","1","7","1","4","6","1","1","4"
"65","Revision Mechanism","2","3","5","89","73","1","25","39","19","4","20","60","56"
"66","Revision Mechanism","2","3","6","6","82","1","35","48","1","24","3","1","1"
"67","Revision Mechanism","2","4","1","106","80","24","64","19","63","88","83","10","23"
"68","Revision Mechanism","2","4","2","19","45","26","8","27","8","91","15","1","5"
"69","Revision Mechanism","2","4","3","105","70","54","67","72","69","88","74","63","66"
"70","Revision Mechanism","2","4","4","112","75","24","15","13","85","84","74","21","8"
"71","Revision Mechanism","2","4","5","95","10","74","6","1","76","80","3","78","79"
"72","Revision Mechanism","2","4","6","104","83","59","71","77","87","58","94","26","37"
"73","Revision Mechanism","3","5","1","66","79","6","2","2","99000","3","1","13","2"
"74","Revision Mechanism","3","5","2","33","9","2","2","1","99000","2","1","1","2"
"75","Revision Mechanism","3","5","3","26","3","2","4","2","99000","3","4","23","2"
"76","Revision Mechanism","3","5","4","2","84","2","2","2","99000","2","1","100","84"
"77","Revision Mechanism","3","5","5","24","2","6","4","2","99000","2","2","1","4"
"78","Revision Mechanism","3","5","6","4","5","2","3","2","99000","85","83","95","2"
"79","Revision Mechanism","3","6","1","81","3","3","2","2","1","45","1","4","4"
"80","Revision Mechanism","3","6","2","74","3","5","6","5","1","6","1","1","7"
"81","Revision Mechanism","3","6","3","76","3","2","83","2","5","4","1","4","2"
"82","Revision Mechanism","3","6","4","91","3","2","72","17","6","3","83","100","4"
"83","Revision Mechanism","3","6","5","74","3","2","70","2","99000","45","81","17","85"
"84","Revision Mechanism","3","6","6","7","3","2","4","2","99000","1","1","16","2"
"85","Revision Mechanism","4","7","1","118","63","5","2","32","2","75","3","42","3"
"86","Revision Mechanism","4","7","2","58","77","2","4","73","32","2","2","34","27"
"87","Revision Mechanism","4","7","3","125","79","54","2","73","45","8","3","11","4"
"88","Revision Mechanism","4","7","4","62","4","3","3","74","2","2","2","2","3"
"89","Revision Mechanism","4","7","5","46","75","4","5","75","10","7","2","2","2"
"90","Revision Mechanism","4","7","6","85","77","3","2","71","2","2","3","2","2"
"91","Revision Mechanism","4","8","1","117","34","2","2","2","80","2","1","3","1"
"92","Revision Mechanism","4","8","2","104","64","4","2","2","2","3","2","3","2"
"93","Revision Mechanism","4","8","3","4","65","3","25","3","3","2","9","9","6"
"94","Revision Mechanism","4","8","4","69","6","4","4","7","6","5","5","4","3"
"95","Revision Mechanism","4","8","5","130","64","3","15","2","1","6","2","4","3"
"96","Revision Mechanism","4","8","6","92","48","5","2","2","38","3","2","2","3"
"97","Standard Cheap Talk","1","1","1","23","8","6","25","47","39","43","6","36","24"
"98","Standard Cheap Talk","1","1","2","5","33","20","44","46","39","49","49","44","54"
"99","Standard Cheap Talk","1","1","3","7","13","10","29","41","14","12","46","18","48"
"100","Standard Cheap Talk","1","1","4","27","5","39","5","37","24","37","38","57","39"
"101","Standard Cheap Talk","1","1","5","36","10","40","28","38","31","25","33","41","35"
"102","Standard Cheap Talk","1","1","6","24","13","14","3","46","17","50","55","32","49"
"103","Standard Cheap Talk","1","2","1","7","25","44","29","30","54","32","34","46","50"
"104","Standard Cheap Talk","1","2","2","23","41","52","16","14","15","38","56","36","17"
"105","Standard Cheap Talk","1","2","3","7","8","23","13","2","49","49","21","36","56"
"106","Standard Cheap Talk","1","2","4","6","19","40","39","27","47","43","55","24","53"
"107","Standard Cheap Talk","1","2","5","26","12","22","5","14","48","47","56","47","15"
"108","Standard Cheap Talk","1","2","6","10","11","35","50","36","50","48","54","46","55"
"109","Standard Cheap Talk","2","3","1","64","66","66","66","64","65","66","65","66","66"
"110","Standard Cheap Talk","2","3","2","59","65","64","66","54","64","63","66","65","66"
"111","Standard Cheap Talk","2","3","3","63","66","66","66","65","66","66","66","66","66"
"112","Standard Cheap Talk","2","3","4","63","66","66","65","63","65","60","66","66","66"
"113","Standard Cheap Talk","2","3","5","63","66","65","65","64","64","66","66","65","66"
"114","Standard Cheap Talk","2","3","6","65","65","65","65","61","65","66","66","66","66"
"115","Standard Cheap Talk","2","4","1","51","54","57","31","59","59","48","57","61","57"
"116","Standard Cheap Talk","2","4","2","57","59","58","64","64","63","63","62","64","66"
"117","Standard Cheap Talk","2","4","3","57","65","37","62","66","65","65","66","65","66"
"118","Standard Cheap Talk","2","4","4","63","62","65","62","63","63","65","65","65","66"
"119","Standard Cheap Talk","2","4","5","54","60","61","62","63","64","61","61","64","62"
"120","Standard Cheap Talk","2","4","6","62","64","64","22","63","58","59","53","99825","66"
"121","Standard Cheap Talk","3","5","1","61","58","62","62","65","66","63","63","66","66"
"122","Standard Cheap Talk","3","5","2","55","60","61","64","64","64","64","62","63","62"
"123","Standard Cheap Talk","3","5","3","60","62","62","65","66","66","66","66","66","66"
"124","Standard Cheap Talk","3","5","4","57","56","64","64","63","63","64","63","63","62"
"125","Standard Cheap Talk","3","5","5","63","59","64","62","64","63","65","65","65","66"
"126","Standard Cheap Talk","3","5","6","64","66","65","66","66","61","65","66","65","66"
"127","Standard Cheap Talk","3","6","1","60","65","64","65","63","65","66","64","65","66"
"128","Standard Cheap Talk","3","6","2","61","64","63","66","66","65","66","66","66","66"
"129","Standard Cheap Talk","3","6","3","62","58","65","65","65","65","64","64","65","66"
"130","Standard Cheap Talk","3","6","4","57","61","61","63","64","64","66","64","65","66"
"131","Standard Cheap Talk","3","6","5","61","45","54","65","58","64","64","64","65","66"
"132","Standard Cheap Talk","3","6","6","60","59","57","64","57","62","59","57","57","65"
"133","Standard Cheap Talk","4","7","1","55","63","65","64","57","65","63","62","65","66"
"134","Standard Cheap Talk","4","7","2","63","63","63","63","60","64","64","64","64","66"
"135","Standard Cheap Talk","4","7","3","62","60","64","64","64","64","64","64","61","66"
"136","Standard Cheap Talk","4","7","4","64","65","64","66","65","65","65","61","63","65"
"137","Standard Cheap Talk","4","7","5","53","56","58","61","58","51","60","57","54","63"
"138","Standard Cheap Talk","4","7","6","64","65","66","66","61","66","66","66","61","65"
"139","Standard Cheap Talk","4","8","1","64","64","63","64","64","64","65","65","63","66"
"140","Standard Cheap Talk","4","8","2","64","65","66","60","99825","66","66","66","62","65"
"141","Standard Cheap Talk","4","8","3","64","65","66","66","66","64","66","65","63","66"
"142","Standard Cheap Talk","4","8","4","64","65","64","65","64","64","64","64","66","66"
"143","Standard Cheap Talk","4","8","5","64","63","62","52","62","64","62","61","64","66"
"144","Standard Cheap Talk","4","8","6","58","65","64","66","66","65","66","66","65","66"
"145","Revision Cheap Talk","1","1","1","4","1","99000","3","99000","5","2","2","1","1"
"146","Revision Cheap Talk","1","1","2","58","92","8","66","74","56","54","88","8","64"
"147","Revision Cheap Talk","1","1","3","5","87","99000","65","5","6","24","12","1","4"
"148","Revision Cheap Talk","1","1","4","82","75","87","54","50","52","8","68","21","53"
"149","Revision Cheap Talk","1","1","5","75","6","59","5","1","88","2","3","1","1"
"150","Revision Cheap Talk","1","1","6","97","81","99000","2","99000","78","70","3","6","40"
"151","Revision Cheap Talk","1","2","1","3","93","99000","2","99000","5","2","3","1","5"
"152","Revision Cheap Talk","1","2","2","92","41","99000","3","1","99000","2","2","1","1"
"153","Revision Cheap Talk","1","2","3","42","1","99000","3","99000","99000","2","3","6","1"
"154","Revision Cheap Talk","1","2","4","77","21","6","5","4","6","5","7","6","5"
"155","Revision Cheap Talk","1","2","5","38","1","99000","9","99000","99000","69","32","1","8"
"156","Revision Cheap Talk","1","2","6","3","43","99000","3","43","38","43","6","1","1"
"157","Revision Cheap Talk","2","1","1","4","1","99000","3","99000","5","2","2","1","1"
"158","Revision Cheap Talk","2","1","2","58","92","8","66","74","56","54","88","8","64"
"159","Revision Cheap Talk","2","1","3","5","87","99000","65","5","6","24","12","1","4"
"160","Revision Cheap Talk","2","1","4","82","75","87","54","50","52","8","68","21","53"
"161","Revision Cheap Talk","2","1","5","75","6","59","5","1","88","2","3","1","1"
"162","Revision Cheap Talk","2","1","6","97","81","99000","2","99000","78","70","3","6","40"
"163","Revision Cheap Talk","2","2","1","3","93","99000","2","99000","5","2","3","1","5"
"164","Revision Cheap Talk","2","2","2","92","41","99000","3","1","99000","2","2","1","1"
"165","Revision Cheap Talk","2","2","3","42","1","99000","3","99000","99000","2","3","6","1"
"166","Revision Cheap Talk","2","2","4","77","21","6","5","4","6","5","7","6","5"
"167","Revision Cheap Talk","2","2","5","38","1","99000","9","99000","99000","69","32","1","8"
"168","Revision Cheap Talk","2","2","6","3","43","99000","3","43","38","43","6","1","1"
"169","Revision Cheap Talk","3","1","1","4","1","99000","3","99000","5","2","2","1","1"
"170","Revision Cheap Talk","3","1","2","58","92","8","66","74","56","54","88","8","64"
"171","Revision Cheap Talk","3","1","3","5","87","99000","65","5","6","24","12","1","4"
"172","Revision Cheap Talk","3","1","4","82","75","87","54","50","52","8","68","21","53"
"173","Revision Cheap Talk","3","1","5","75","6","59","5","1","88","2","3","1","1"
"174","Revision Cheap Talk","3","1","6","97","81","99000","2","99000","78","70","3","6","40"
"175","Revision Cheap Talk","3","2","1","3","93","99000","2","99000","5","2","3","1","5"
"176","Revision Cheap Talk","3","2","2","92","41","99000","3","1","99000","2","2","1","1"
"177","Revision Cheap Talk","3","2","3","42","1","99000","3","99000","99000","2","3","6","1"
"178","Revision Cheap Talk","3","2","4","77","21","6","5","4","6","5","7","6","5"
"179","Revision Cheap Talk","3","2","5","38","1","99000","9","99000","99000","69","32","1","8"
"180","Revision Cheap Talk","3","2","6","3","43","99000","3","43","38","43","6","1","1"
"181","Revision Cheap Talk","4","1","1","4","1","99000","3","99000","5","2","2","1","1"
"182","Revision Cheap Talk","4","1","2","58","92","8","66","74","56","54","88","8","64"
"183","Revision Cheap Talk","4","1","3","5","87","99000","65","5","6","24","12","1","4"
"184","Revision Cheap Talk","4","1","4","82","75","87","54","50","52","8","68","21","53"
"185","Revision Cheap Talk","4","1","5","75","6","59","5","1","88","2","3","1","1"
"186","Revision Cheap Talk","4","1","6","97","81","99000","2","99000","78","70","3","6","40"
"187","Revision Cheap Talk","4","2","1","3","93","99000","2","99000","5","2","3","1","5"
"188","Revision Cheap Talk","4","2","2","92","41","99000","3","1","99000","2","2","1","1"
"189","Revision Cheap Talk","4","2","3","42","1","99000","3","99000","99000","2","3","6","1"
"190","Revision Cheap Talk","4","2","4","77","21","6","5","4","6","5","7","6","5"
"191","Revision Cheap Talk","4","2","5","38","1","99000","9","99000","99000","69","32","1","8"
"192","Revision Cheap Talk","4","2","6","3","43","99000","3","43","38","43","6","1","1"
"193","Revision Cheap Talk Memory","1","9","1","92","18","16","13","12","15","12","13","14","13"
"194","Revision Cheap Talk Memory","1","9","2","92","19","23","13","13","15","14","16","13","14"
"195","Revision Cheap Talk Memory","1","9","3","100","22","19","13","12","17","13","14","18","13"
"196","Revision Cheap Talk Memory","1","9","4","115","22","17","13","13","14","12","13","14","13"
"197","Revision Cheap Talk Memory","1","9","5","91","19","16","13","12","15","12","14","13","13"
"198","Revision Cheap Talk Memory","1","9","6","93","20","18","14","12","14","12","13","13","13"
"199","Revision Cheap Talk Memory","1","10","1","120","24","55","13","13","22","12","13","17","14"
"200","Revision Cheap Talk Memory","1","10","2","92","21","19","19","14","15","13","15","16","16"
"201","Revision Cheap Talk Memory","1","10","3","97","20","17","14","13","16","13","14","19","12"
"202","Revision Cheap Talk Memory","1","10","4","96","23","17","13","12","23","13","15","15","12"
"203","Revision Cheap Talk Memory","1","10","5","95","20","18","13","12","16","13","15","16","14"
"204","Revision Cheap Talk Memory","1","10","6","92","20","19","13","13","17","15","14","15","15"
"205","Revision Cheap Talk Memory","2","11","1","34","22","37","22","23","15","25","25","15","14"
"206","Revision Cheap Talk Memory","2","11","2","33","26","38","23","24","15","24","24","21","14"
"207","Revision Cheap Talk Memory","2","11","3","30","28","36","22","22","14","24","23","15","14"
"208","Revision Cheap Talk Memory","2","11","4","40","26","38","23","24","14","26","27","16","15"
"209","Revision Cheap Talk Memory","2","11","5","35","19","38","22","22","14","25","45","17","12"
"210","Revision Cheap Talk Memory","2","11","6","31","19","42","28","22","19","24","25","16","11"
"211","Revision Cheap Talk Memory","2","12","1","68","32","40","24","24","14","22","24","16","11"
"212","Revision Cheap Talk Memory","2","12","2","54","38","44","25","22","14","22","24","16","14"
"213","Revision Cheap Talk Memory","2","12","3","30","24","44","26","22","16","23","26","16","12"
"214","Revision Cheap Talk Memory","2","12","4","60","25","40","25","25","19","24","24","18","12"
"215","Revision Cheap Talk Memory","2","12","5","35","23","40","27","23","15","23","23","16","12"
"216","Revision Cheap Talk Memory","2","12","6","31","19","38","22","23","14","24","23","15","11"
"217","Revision Cheap Talk Memory","3","13","1","54","16","15","15","17","14","22","14","16","16"
"218","Revision Cheap Talk Memory","3","13","2","56","15","16","14","19","15","25","15","15","16"
"219","Revision Cheap Talk Memory","3","13","3","46","16","16","14","20","18","25","17","17","17"
"220","Revision Cheap Talk Memory","3","13","4","51","20","16","17","18","17","23","16","17","17"
"221","Revision Cheap Talk Memory","3","13","5","45","18","16","15","18","15","22","16","16","17"
"222","Revision Cheap Talk Memory","3","13","6","47","15","17","16","18","16","25","18","16","22"
"223","Revision Cheap Talk Memory","3","14","1","57","17","16","22","17","13","25","13","13","15"
"224","Revision Cheap Talk Memory","3","14","2","52","18","14","15","17","14","20","16","15","24"
"225","Revision Cheap Talk Memory","3","14","3","57","37","18","15","24","23","21","16","18","17"
"226","Revision Cheap Talk Memory","3","14","4","58","22","20","17","18","16","20","16","16","17"
"227","Revision Cheap Talk Memory","3","14","5","47","22","19","19","18","17","23","16","18","17"
"228","Revision Cheap Talk Memory","3","14","6","67","24","18","19","17","26","30","23","17","19"
"229","Revision Cheap Talk Memory","4","15","1","58","22","16","14","15","15","15","18","16","17"
"230","Revision Cheap Talk Memory","4","15","2","63","24","18","14","17","15","15","19","16","15"
"231","Revision Cheap Talk Memory","4","15","3","69","24","18","21","18","15","16","19","16","15"
"232","Revision Cheap Talk Memory","4","15","4","58","21","15","14","16","17","16","18","15","14"
"233","Revision Cheap Talk Memory","4","15","5","64","25","15","14","16","14","16","20","15","15"
"234","Revision Cheap Talk Memory","4","15","6","65","21","16","14","19","14","16","18","20","15"
"235","Revision Cheap Talk Memory","4","16","1","61","24","19","14","17","18","18","20","16","16"
"236","Revision Cheap Talk Memory","4","16","2","59","24","16","15","16","22","14","18","15","14"
"237","Revision Cheap Talk Memory","4","16","3","76","27","17","16","17","14","16","20","16","16"
"238","Revision Cheap Talk Memory","4","16","4","75","25","17","14","18","16","17","19","15","16"
"239","Revision Cheap Talk Memory","4","16","5","63","27","24","16","16","18","16","18","15","15"
"240","Revision Cheap Talk Memory","4","16","6","73","23","16","13","18","14","16","17","15","14"
"241","Infrequent Revision Mechanism","1","1","1","71","4","27","93","7","7","3","2","40","30"
"242","Infrequent Revision Mechanism","1","1","2","45","76","60","30","20","51","3","32","43","56"
"243","Infrequent Revision Mechanism","1","1","3","82","54","81","83","74","50","4","62","49","66"
"244","Infrequent Revision Mechanism","1","1","4","55","74","7","74","12","30","19","4","17","22"
"245","Infrequent Revision Mechanism","1","1","5","82","4","86","84","36","4","72","13","76","87"
"246","Infrequent Revision Mechanism","1","1","6","49","56","81","85","70","86","48","64","60","72"
"247","Infrequent Revision Mechanism","1","2","1","66","33","22","94","89","3","82","20","18","23"
"248","Infrequent Revision Mechanism","1","2","2","10","13","59","25","19","18","56","60","36","56"
"249","Infrequent Revision Mechanism","1","2","3","90","91","87","84","82","89","81","81","41","28"
"250","Infrequent Revision Mechanism","1","2","4","99","90","74","72","85","50","77","82","69","18"
"251","Infrequent Revision Mechanism","1","2","5","4","77","64","90","83","63","34","2","84","47"
"252","Infrequent Revision Mechanism","1","2","6","83","28","67","44","27","27","5","2","51","3"
"253","Infrequent Revision Mechanism","2","3","1","90","81","3","2","3","3","3","4","2","3"
"254","Infrequent Revision Mechanism","2","3","2","100","78","3","9","86","4","3","4","10","3"
"255","Infrequent Revision Mechanism","2","3","3","107","94","20","68","13","36","2","82","81","14"
"256","Infrequent Revision Mechanism","2","3","4","106","66","2","2","2","2","2","2","2","2"
"257","Infrequent Revision Mechanism","2","3","5","94","9","4","2","4","6","3","2","86","3"
"258","Infrequent Revision Mechanism","2","3","6","116","60","2","2","3","3","3","1","3","3"
"259","Infrequent Revision Mechanism","2","4","1","77","23","87","9","14","2","3","3","17","4"
"260","Infrequent Revision Mechanism","2","4","2","115","70","89","2","3","2","2","3","35","2"
"261","Infrequent Revision Mechanism","2","4","3","117","92","86","70","24","84","2","7","34","5"
"262","Infrequent Revision Mechanism","2","4","4","92","71","92","74","11","93","82","70","75","40"
"263","Infrequent Revision Mechanism","2","4","5","115","83","74","6","34","78","63","4","26","4"
"264","Infrequent Revision Mechanism","2","4","6","113","88","87","36","16","23","2","2","16","2"
"265","Infrequent Revision Mechanism","3","5","1","95","91","77","6","1","5","6","2","3","1"
"266","Infrequent Revision Mechanism","3","5","2","86","70","47","2","2","1","1","1","75","2"
"267","Infrequent Revision Mechanism","3","5","3","43","26","41","2","2","2","3","6","2","3"
"268","Infrequent Revision Mechanism","3","5","4","5","43","5","2","4","3","3","4","5","10"
"269","Infrequent Revision Mechanism","3","5","5","91","71","79","3","22","4","4","5","4","3"
"270","Infrequent Revision Mechanism","3","5","6","87","93","3","6","3","5","81","3","3","4"
"271","Infrequent Revision Mechanism","3","6","1","82","89","60","2","81","4","4","3","80","2"
"272","Infrequent Revision Mechanism","3","6","2","72","9","2","38","42","61","2","4","4","2"
"273","Infrequent Revision Mechanism","3","6","3","85","11","3","79","9","4","4","4","3","4"
"274","Infrequent Revision Mechanism","3","6","4","6","63","4","3","5","2","3","3","4","6"
"275","Infrequent Revision Mechanism","3","6","5","90","64","2","2","4","5","1","1","2","4"
"276","Infrequent Revision Mechanism","3","6","6","90","79","66","1","75","4","49","2","79","1"
"277","Infrequent Revision Mechanism","4","7","1","101","102","56","11","39","4","4","4","4","2"
"278","Infrequent Revision Mechanism","4","7","2","95","94","93","4","4","4","2","4","3","3"
"279","Infrequent Revision Mechanism","4","7","3","43","63","58","4","2","3","2","2","4","1"
"280","Infrequent Revision Mechanism","4","7","4","11","4","2","3","3","3","4","3","2","4"
"281","Infrequent Revision Mechanism","4","7","5","88","38","86","3","2","2","3","2","2","2"
"282","Infrequent Revision Mechanism","4","7","6","40","105","100","4","4","5","82","5","4","5"
"283","Infrequent Revision Mechanism","4","8","1","69","52","6","69","13","20","83","14","80","1"
"284","Infrequent Revision Mechanism","4","8","2","100","4","8","3","44","2","4","64","2","2"
"285","Infrequent Revision Mechanism","4","8","3","26","95","56","83","27","62","8","64","73","2"
"286","Infrequent Revision Mechanism","4","8","4","6","6","12","9","66","68","72","63","11","1"
"287","Infrequent Revision Mechanism","4","8","5","83","67","92","75","37","17","3","76","52","1"
"288","Infrequent Revision Mechanism","4","8","6","91","48","35","26","39","18","14","2","2","2"
