1	6.227	0.143	0.67	4.56	0.15
2	6.227	0.143	13.53	4.56	0.15
3	2.303	0.393	0.47	2.48	0.37
4	3.359	0.224	3.33	3.26	0.21
5	3.896	0.229	5.73	2.09	0.43
6	2.646	0.32	8.5	7.86	0.11
7	0.397	1.758	14.94	2.08	0.49
8	3.966	0.232	0.91	4.74	0.19
9	5.157	0.14	1.69	4.03	0.17
10	5.283	0.167	1.47	3.39	0.2
11	3.004	0.209	3.28	3.39	0.2
12	7.75	0.12	3.44	4.3	0.16
13	1.235	0.552	3.63	0.76	0.81
14	2.805	0.129	1.38	2.16	0.24
15	6.169	0.152	1.64	2.16	0.24
16	10	0	5	10	0
17	10	0	5	10	0
18	10	0	5	10	0
19	10	0	5	10	0
20	10	0	5	10	0
21	10	0	5	10	0
22	10	0	5	10	0
23	10	0	5	10	0
24	10	0	5	10	0
25	10	0	5	10	0
26	10	0	5	10	0
27	10	0	5	10	0
28	10	0	5	10	0
29	10	0	5	10	0
30	10	0	5	10	0
31	10	0	5	10	0
32	10	0	5	10	0
33	10	0	5	10	0
34	10	0	5	10	0
35	10	0	5	10	0